NFT,Floor Price,24h,Market Cap,24h Volume,Owners,24h Owners,Total Assets
dotdotdots,0.198,29.5%,964.26,6349.42,2646.0,0.0,4870.0
Azuki,11.05,13.3%,110500.0,1430.23,5405.0,-0.2,10000.0
Bored Ape Yacht Club,91.0,3.5%,910000.0,1364.87,6316.0,0.0,10000.0
LAND,3.53,-0.0%,497147.55,1279.27,19608.0,2.0,140835.0
CloneX,14.0,7.7%,263676.0,1087.64,8224.0,0.3,18834.0
Cool Pets,2.49,5.3%,39501.36,978.65,9608.0,-1.0,15864.0
Mutant Ape Yacht Club,19.93,4.3%,357783.36,925.08,11705.0,0.1,17952.0
Doodles,13.91,4.8%,139100.0,458.98,5981.0,0.1,10000.0
MekaVerse,1.169,40.6%,10390.07,394.93,5054.0,-1.8,8888.0
World of Women,9.87,-5.1%,98700.0,224.49,5065.0,0.0,10000.0
Lives of Asuna,0.385,-6.5%,3850.0,187.29,6159.0,-0.2,10000.0
Zipcy's SuperNormal,1.23,13.0%,10932.24,168.17,4954.0,0.0,8888.0
Cool Cats,10.66,1.4%,105885.78,164.19,5158.0,-0.0,9933.0
CyberKongz,7.58,7.2%,37900.0,134.8,2432.0,0.3,5000.0
Decentral Games ICE Poker,1.99,3.1%,28920.67,120.62,3358.0,-0.3,14533.0
Capsule House,1.75,7.7%,17500.0,118.31,3731.0,-0.3,10000.0
Crypto Coven,2.01,3.5%,19611.57,115.08,4731.0,0.7,9757.0
Metroverse,0.7999,2.1%,7998.2,96.91,621.0,-2.8,9999.0
Smilesss,1.85,10.6%,16154.2,83.6,4505.0,0.7,8732.0
FVCK_CRYSTAL//,2.75,-0.6%,11464.75,81.35,2080.0,0.5,4169.0
JRNY NFT Club,3.38,-1.9%,33800.0,80.63,6931.0,-0.1,10000.0
Boss Beauties,2.1,-6.6%,21000.0,80.48,5408.0,0.2,10000.0
FLUF World,3.95,3.3%,39500.0,80.23,3514.0,-0.1,10000.0
Crypto Unicorns,1.68,-15.5%,16800.0,78.5,519.0,-3.5,10000.0
Adam Bomb Squad,0.833,11.8%,20824.17,73.2,8730.0,-0.1,24999.0
VeeFriends,13.5,2.3%,138442.5,72.74,5200.0,0.0,10255.0
PUNKS Comic,0.2,-0.6%,4640.8,49.71,8092.0,0.1,23204.0
inbetweeners,0.625,5.0%,6735.63,48.6,5742.0,-0.1,10777.0
Phanta Bear,1.55,-4.5%,15500.0,46.9,5421.0,0.3,10000.0
Lazy Lions,1.375,-9.9%,13860.0,46.02,5011.0,-0.2,10080.0
CrypToadz,2.4,0.5%,16860.0,45.94,3831.0,-0.1,7025.0
OnChainMonkey,1.4,0.6%,13300.0,40.78,2981.0,-0.1,9500.0
Creature World,1.17,1.5%,11700.0,34.25,6176.0,0.0,10000.0
Loot,2.29,-6.5%,17813.91,31.81,2551.0,-0.1,7779.0
IreneDAO,1.33,15.6%,1470.98,31.4,499.0,0.2,1106.0
